restaurant_id,restaurant_name,lunch_price,dinner_price,last_month_sales_1_person,last_month_sales_2_people,last_month_sales_3-4_people,last_month_sales_5_or_more
R001,Restaurant 1,2122,4794,712992,4496772,4142016,3427710
R002,Restaurant 2,2668,6114,618976,4292028,2879694,4860630
R003,Restaurant 3,2838,4840,368940,3165360,3354120,1161600
R004,Restaurant 4,956,6110,456012,1417520,2052960,2627300
R005,Restaurant 5,1795,7854,269250,4476780,2568258,7225680
R006,Restaurant 6,2389,5595,1937479,3110820,1477080,1174950
R007,Restaurant 7,1700,6601,1101600,1729462,1584240,6369965
R008,Restaurant 8,2170,4173,1471260,1026558,688545,2524665
R009,Restaurant 9,1689,2955,189168,1051980,1781865,2334450
R010,Restaurant 10,1079,7003,882622,5070172,2184936,5707445
R011,Restaurant 11,2645,2881,357075,2287514,1166805,2578495
R012,Restaurant 12,1515,3561,209070,470052,1452888,1744890
R013,Restaurant 13,1234,2011,1211788,1355414,343881,301650
R014,Restaurant 14,1991,2990,659021,1877720,1166100,1883700
R015,Restaurant 15,2494,3910,1985224,1853340,2486760,3030250
R016,Restaurant 16,2558,7490,1913384,2232020,1550430,1310750
R017,Restaurant 17,999,4704,581418,2991744,1481760,1011360
R018,Restaurant 18,1819,3751,1266024,3240864,1777974,1481645
R019,Restaurant 19,2455,3378,1774965,1459296,2351088,709380
R020,Restaurant 20,1632,7451,912288,4947464,1654122,4731385
R021,Restaurant 21,2617,3492,895014,2933280,345708,1484100
R022,Restaurant 22,1931,5594,876674,1924336,3306054,2377450
R023,Restaurant 23,1923,2480,1030728,634880,305040,1190400
R024,Restaurant 24,2367,6481,1292382,2086882,2780349,6254165
R025,Restaurant 25,1593,6518,1459188,2515948,1271010,1825040
R026,Restaurant 26,897,2122,690690,742700,674796,1326250
R027,Restaurant 27,1500,5534,1372500,597672,4847784,2850010
R028,Restaurant 28,2797,7654,690859,4500552,5671614,6467630
R029,Restaurant 29,2815,6810,1300530,4126860,1123650,3711450
R030,Restaurant 30,2987,2773,1648824,1558426,607287,1206255
R031,Restaurant 31,819,6658,352989,785644,858882,1664500
R032,Restaurant 32,1672,3124,819280,1318328,834108,234300
R033,Restaurant 33,2161,3663,382497,483516,3131865,2326005
R034,Restaurant 34,1997,3473,706938,1653148,2302599,277840
R035,Restaurant 35,874,2379,104880,518622,1841346,1926990
R036,Restaurant 36,2642,2000,1476878,564000,1650000,1290000
R037,Restaurant 37,1658,5922,1575100,4323060,1545642,1806210
R038,Restaurant 38,1197,5584,819945,3026528,1725456,3043280
R039,Restaurant 39,2393,4361,2184809,1447852,1897035,566930
R040,Restaurant 40,1647,7446,1314306,7014132,1295604,6105720
R041,Restaurant 41,1606,3941,1116170,1379350,969486,3487785
R042,Restaurant 42,940,6649,263200,3750036,598410,2227415
R043,Restaurant 43,825,7401,283800,3493272,754902,7215975
R044,Restaurant 44,1221,4736,318681,3930880,1918080,2604800
R045,Restaurant 45,820,6532,411640,3971456,5878800,1404380
R046,Restaurant 46,2642,7567,464992,3495954,2179296,1021545
R047,Restaurant 47,875,7735,519750,5971420,3991260,2784600
R048,Restaurant 48,1286,2739,541406,805266,1659834,972345
R049,Restaurant 49,1078,5598,593978,1981692,789318,1819350
R050,Restaurant 50,1834,4912,1445192,3104384,839952,245600
R051,Restaurant 51,1014,6563,461370,1207592,1063206,5578550
R052,Restaurant 52,1041,2827,397662,1142108,279873,947045
R053,Restaurant 53,1526,6089,515788,3689934,5461833,5023425
R054,Restaurant 54,1592,7541,886744,2232136,6085587,6636080
R055,Restaurant 55,2556,2759,1699740,2438956,1109118,924265
R056,Restaurant 56,2680,4363,1380200,2818498,1596858,2814135
R057,Restaurant 57,1761,4601,1470435,2254490,3892446,3036660
R058,Restaurant 58,1572,2897,1196292,1384766,1807728,2534875
R059,Restaurant 59,2885,6611,1399225,5037582,5533407,1851080
R060,Restaurant 60,2817,2113,1019754,1280478,374001,1700965
R061,Restaurant 61,2081,3266,1358893,731584,1753842,1518690
R062,Restaurant 62,1919,4291,368448,2282812,2548854,514920
R063,Restaurant 63,907,3208,892488,641600,1183752,2101240
R064,Restaurant 64,1124,2488,689012,1875952,1209168,1082280
R065,Restaurant 65,1053,7783,467532,2101410,5183478,6926870
R066,Restaurant 66,2762,2282,1320236,1930572,821520,1141000
R067,Restaurant 67,2399,2151,623740,2013336,1619703,1580985
R068,Restaurant 68,2714,5244,770776,3859584,4121784,760380
R069,Restaurant 69,2622,6683,1788204,6134994,5413230,4444195
R070,Restaurant 70,1954,6571,1899288,1485046,1123641,1412765
R071,Restaurant 71,1010,6482,295930,6106044,3325266,713020
R072,Restaurant 72,1919,2147,890416,1348316,824448,354255
R073,Restaurant 73,1913,4673,893371,2579496,3084180,3014085
R074,Restaurant 74,888,6455,330336,6106430,3485700,1807400
R075,Restaurant 75,1515,4594,1272600,486964,1102560,2044330
R076,Restaurant 76,2205,4297,2046240,1933650,1237536,1138705
R077,Restaurant 77,1466,4503,555614,3872580,4039191,1756170
R078,Restaurant 78,1944,5169,958392,4383312,3566610,1783305
R079,Restaurant 79,2758,7223,1053556,4088218,1906872,2889200
R080,Restaurant 80,2011,7771,1031643,7444618,1701849,7265885
R081,Restaurant 81,2523,2721,2311068,620388,1885653,1360500
R082,Restaurant 82,2508,7726,1128600,1112544,3754836,5485460
R083,Restaurant 83,1778,2542,202692,274536,2104776,1817530
R084,Restaurant 84,954,5505,244224,2323110,2411190,467925
R085,Restaurant 85,2382,7877,1860342,2835720,2457624,3387110
R086,Restaurant 86,1491,6385,538251,4150250,4041705,446950
R087,Restaurant 87,2507,2568,1266035,683088,1140192,1489440
R088,Restaurant 88,849,4673,537417,2616880,2313135,2967355
R089,Restaurant 89,1306,6107,696098,3725270,2381730,4885600
R090,Restaurant 90,1002,7398,760518,5341356,2685474,3181140
R091,Restaurant 91,1333,6020,174623,4936400,2907660,2227400
R092,Restaurant 92,2644,5866,531444,2921268,4065138,4164860
R093,Restaurant 93,2154,7055,525576,2977210,6286005,2045950
R094,Restaurant 94,1781,7162,181662,2291840,6359856,2220220
R095,Restaurant 95,2399,4142,388638,3769220,2534904,2112420
R096,Restaurant 96,1614,2603,1502634,1567006,2108430,2603000
