user_id,usage_1_person,usage_2_people,usage_3-4_people,usage_5_or_more_people,avg_lunch_price,avg_dinner_price
U0001,22,6,4,10,2962,3916
U0002,49,5,5,2,2902,3790
U0003,5,21,10,10,1476,4738
U0004,26,26,2,9,1029,5392
U0005,48,14,12,10,2613,5358
U0006,41,25,9,7,1139,3247
U0007,9,15,9,7,1626,5864
U0008,2,11,16,9,1138,7446
U0009,23,22,0,9,2597,4535
U0010,43,21,12,3,2270,3228
U0011,5,24,0,9,1462,4112
U0012,47,1,10,8,2388,7346
U0013,24,2,20,5,1462,5014
U0014,20,20,6,5,2999,5222
U0015,27,9,6,2,2128,7460
U0016,43,20,3,6,1975,5512
U0017,46,20,6,4,1621,2600
U0018,23,25,11,10,1819,3042
U0019,14,28,14,2,2019,7174
U0020,29,6,9,1,2700,6748
U0021,24,7,8,9,1424,7611
U0022,12,23,16,3,1957,3553
U0023,38,13,11,9,1914,6930
U0024,18,2,6,2,2534,4080
U0025,18,13,16,1,2588,5184
U0026,9,23,5,10,2733,2537
U0027,21,20,9,4,2544,7381
U0028,15,15,16,8,941,5650
U0029,37,8,14,8,1291,6848
U0030,13,8,11,10,2379,4985
U0031,10,11,17,3,1041,5376
U0032,50,25,2,7,1997,5819
U0033,42,28,4,0,2091,6841
U0034,15,20,18,0,857,7516
U0035,39,5,5,5,857,7659
U0036,35,18,14,10,2597,2703
U0037,36,15,2,1,1055,5114
U0038,10,3,10,2,2565,3618
U0039,33,6,10,4,1893,6075
U0040,22,30,11,1,2261,6707
U0041,24,10,0,10,1752,4183
U0042,36,14,0,10,2011,2911
U0043,5,3,11,8,1324,3594
U0044,38,30,1,0,2398,4781
U0045,28,8,6,10,2571,4831
U0046,46,3,15,3,1311,5861
U0047,9,8,13,3,2516,2642
U0048,24,11,10,7,2045,5121
U0049,40,5,19,4,2531,7385
U0050,31,12,12,1,1273,2223
U0051,46,7,6,7,2898,6921
U0052,40,20,10,7,2189,4198
U0053,11,24,0,10,2043,7186
U0054,40,23,12,2,2127,4910
U0055,12,18,9,2,2102,2109
U0056,48,23,16,10,1823,7067
U0057,36,22,12,7,2366,3180
U0058,23,25,20,7,2607,7097
U0059,40,23,15,5,2218,4300
U0060,3,9,9,9,1489,4149
U0061,17,18,15,1,1638,6160
U0062,40,22,12,9,1687,2494
U0063,18,14,8,5,2617,2818
U0064,16,6,13,1,1095,6959
U0065,11,19,12,4,1108,5734
U0066,28,9,6,0,913,3710
U0067,25,9,15,2,2827,2349
U0068,9,5,10,3,1895,7638
U0069,9,28,19,6,1207,5895
U0070,50,22,13,1,1064,7786
U0071,48,2,14,10,2959,4097
U0072,47,13,9,0,1316,2060
U0073,39,11,2,5,1372,4480
U0074,0,27,9,2,2103,4477
U0075,27,9,0,1,924,5882
U0076,31,13,3,8,1499,4374
U0077,14,28,0,1,1014,6555
U0078,1,2,13,0,1766,4387
U0079,31,2,16,10,1398,5376
U0080,18,23,10,5,2892,4861
U0081,20,27,20,5,1662,2453
U0082,27,22,8,0,1704,2857
U0083,1,21,4,2,1642,6122
U0084,30,15,1,1,2427,3718
U0085,49,23,20,2,1406,4643
U0086,17,3,0,6,2880,6151
U0087,32,15,13,7,2382,5699
U0088,35,1,5,4,992,5004
U0089,48,9,14,4,2820,4743
U0090,18,2,9,2,1528,6314
U0091,10,5,10,1,2099,5077
U0092,40,16,7,9,2910,5536
U0093,45,21,6,10,2369,3015
U0094,13,19,1,0,2249,3199
U0095,28,1,15,7,2350,4712
U0096,39,8,5,1,2676,4275
U0097,36,19,5,0,2957,4365
U0098,37,18,16,8,2588,2075
U0099,12,21,20,2,2142,4924
U0100,39,25,16,10,965,7776
U0101,2,1,17,6,1500,7762
U0102,2,1,12,3,2778,6059
U0103,22,9,18,0,812,7099
U0104,23,10,13,8,1075,2162
U0105,29,4,7,0,1583,5381
U0106,29,24,18,3,1492,4142
U0107,29,21,17,3,1873,2650
U0108,25,19,12,0,1941,5495
U0109,35,24,4,5,1402,2630
U0110,2,2,7,5,2927,7185
